account_name,color,sort_order
M1 BUY-4254,#c4b5fd,0
K-ONE-1718,#fbbf24,1
UMI BUY-3264,#93c5fd,2
BEST-BUY-1152,#f9a8d4,3
First Supplier,#86efac,4
Best one-5832,#a5b4fc,5
Rich-4192,#7dd3fc,6
OKR,#bef264,7
topone,#d8b4fe,8
fashion,#fca5a5,9
Sneak Depot,#f472b6,10
rich,#a5b4fc,11
Jack,#fdba74,12
Everybuy,#86efac,13
k-club,#f87171,14
Trend Union,#c084fc,15
Factory Drip,#7dd3fc,16
Visionmart,#93c5fd,17
prosperity hub,#fdba74,18
电报娜,#d8b4fe,19
best,#60a5fa,20
Dark-pop,#fb923c,21
See.U,#f97316,22
A1 BUY,#a5b4fc,23
ONE BUY,#60a5fa,24
Lucky Buy,#86efac,25
coco,#93c5fd,27
Hyped Code,#c4b5fd,28
Keep Real,#d8b4fe,29
POP,#60a5fa,30
